"","price","date","sqm","postcode","property_type","new_build","estate_type","number","street","town","district","transaction_category","Adress","index","years","bedrooms","bathrooms","en_suite"
"49",265000,2013-04-12,29,"E14 9LN","flat","No","leasehold","MOORE HOUSE","CASSILIS ROAD","LONDON","TOWER HAMLETS","A","MOORE HOUSE CASSILIS ROAD ","LONDON39",41,1,2,1
"50",214000,2009-03-27,106,"E15 2NZ","flat","No","leasehold","CENTRAL HOUSE, 32 - 66","HIGH STREET","LONDON","NEWHAM","A","CENTRAL HOUSE, 32 - 66 HIGH STREET STRATFORD","LONDON40",56,2,3,1
"51",241500,2009-03-04,26,"E15 2SX","flat","No","leasehold","HALLINGS WHARF STUDIOS, 1","CHANNELSEA ROAD","LONDON","NEWHAM","A","HALLINGS WHARF STUDIOS, 1 CHANNELSEA ROAD LONDON","LONDON41",30,1,2,1
"52",400000,2015-09-24,71,"E15 3DP","terraced","No","freehold","87","RANELAGH ROAD","LONDON","NEWHAM","A","87 RANELAGH ROAD STRATFORD","LONDON42",130,2,3,1
"53",240000,2013-10-14,23,"E15 3LH","terraced","No","freehold","17","EASTBOURNE ROAD","LONDON","NEWHAM","A","17 EASTBOURNE ROAD STRATFORD","LONDON43",46,1,1,0
"54",235000,2013-07-26,55,"E16 1AS","flat","No","leasehold","CAPITAL EAST APARTMENTS, 21","WESTERN GATEWAY","LONDON","NEWHAM","A","CAPITAL EAST APARTMENTS, 21 WESTERN GATEWAY ROYAL VICTORIA DOCK","LONDON44",53,2,3,1
"55",360000,2015-10-16,55,"E16 1AS","flat","No","leasehold","CAPITAL EAST APARTMENTS, 21","WESTERN GATEWAY","LONDON","NEWHAM","A","CAPITAL EAST APARTMENTS, 21 WESTERN GATEWAY ROYAL VICTORIA DOCK","LONDON44",55,2,3,1
"56",425000,2012-07-17,55,"E16 1AS","flat","No","leasehold","CAPITAL EAST APARTMENTS, 21","WESTERN GATEWAY","LONDON","NEWHAM","A","CAPITAL EAST APARTMENTS, 21 WESTERN GATEWAY ROYAL VICTORIA DOCK","LONDON44",52,2,3,1
"57",246500,2013-02-28,55,"E16 1AS","flat","No","leasehold","CAPITAL EAST APARTMENTS, 21","WESTERN GATEWAY","LONDON","NEWHAM","A","CAPITAL EAST APARTMENTS, 21 WESTERN GATEWAY ROYAL VICTORIA DOCK","LONDON44",52,2,3,1
"58",599999,2015-12-11,55,"E16 1AS","flat","No","leasehold","CAPITAL EAST APARTMENTS, 21","WESTERN GATEWAY","LONDON","NEWHAM","A","CAPITAL EAST APARTMENTS, 21 WESTERN GATEWAY ROYAL VICTORIA DOCK","LONDON44",55,2,3,1
"59",450000,2013-12-11,55,"E16 1AS","flat","No","leasehold","CAPITAL EAST APARTMENTS, 21","WESTERN GATEWAY","LONDON","NEWHAM","A","CAPITAL EAST APARTMENTS, 21 WESTERN GATEWAY ROYAL VICTORIA DOCK","LONDON44",53,2,3,1
"60",225000,2015-11-06,83,"E16 3JL","flat","No","leasehold","337B","PRINCE REGENT LANE","LONDON","NEWHAM","A","337B PRINCE REGENT LANE PLAISTOW","LONDON45",106,2,2,1
"61",165000,2012-06-22,48,"E16 3JP","flat","Yes","leasehold","371B","PRINCE REGENT LANE","LONDON","NEWHAM","A","371B PRINCE REGENT LANE PLAISTOW","LONDON46",23,2,2,0
"62",430000,2015-10-23,84,"E17 3BQ","flat","No","leasehold","6","RECTORY ROAD","LONDON","WALTHAM FOREST","A","6 RECTORY ROAD WALTHAMSTOW","LONDON47",129,2,2,1
"63",170000,2010-03-26,47,"E17 3HT","terraced","No","freehold","34A","WOOD STREET","LONDON","WALTHAM FOREST","A","34A WOOD STREET ","LONDON48",23,2,2,1
"64",131000,2013-05-31,17,"E17 3LE","flat","No","leasehold","HAGGER COURT, 88","WOODLANDS ROAD","LONDON","WALTHAM FOREST","A","HAGGER COURT, 88 WOODLANDS ROAD WALTHAMSTOW","LONDON49",50,1,1,0
"65",405000,2016-06-16,126,"E17 4JJ","terraced","No","freehold","168","ST JOHNS ROAD","LONDON","WALTHAM FOREST","A","168 ST JOHNS ROAD WALTHAMSTOW","LONDON50",23,4,3,1
"66",250000,2009-02-09,40,"E17 4JQ","terraced","No","freehold","72","ST JOHNS ROAD","LONDON","WALTHAM FOREST","A","72 ST JOHNS ROAD WALTHAMSTOW","LONDON51",29,2,3,1
"67",176000,2013-11-04,10,"E17 4NA","flat","No","leasehold","HOWARD MANSIONS","FOREST ROAD","LONDON","WALTHAM FOREST","B","HOWARD MANSIONS FOREST ROAD WALTHAMSTOW","LONDON52",60,1,1,1
"68",250000,2013-03-11,84,"E17 4SQ","terraced","No","leasehold","94","HOWARD ROAD","LONDON","WALTHAM FOREST","A","94 HOWARD ROAD WALTHAMSTOW","LONDON53",69,2,3,1
"69",145000,2009-03-06,95,"E17 5LS","flat","No","leasehold","1B","PRIORY COURT","LONDON","WALTHAM FOREST","A","1B PRIORY COURT LONDON","LONDON54",65,2,2,1
"70",235000,2008-10-06,38,"E17 5NP","terraced","No","freehold","34","WARWICK ROAD","LONDON","WALTHAM FOREST","A","34 WARWICK ROAD WALTHAMSTOW","LONDON55",27,2,2,1
"71",190000,2008-10-06,38,"E17 5NP","terraced","No","freehold","34","WARWICK ROAD","LONDON","WALTHAM FOREST","A","34 WARWICK ROAD WALTHAMSTOW","LONDON55",27,2,2,1
"72",187000,2013-11-11,32,"E17 5RY","flat","No","leasehold","23A","MANOR ROAD","LONDON","WALTHAM FOREST","A","23A MANOR ROAD WALTHAMSTOW","LONDON56",65,1,1,0
"73",129000,2010-09-06,21,"E17 5SB","flat","No","leasehold","LONGLANDS COURT, 49","MANOR ROAD","LONDON","WALTHAM FOREST","A","LONGLANDS COURT, 49 MANOR ROAD WALTHAMSTOW","LONDON57",54,1,1,0
"74",213500,2009-01-30,93,"E17 6AA","terraced","No","freehold","138","BLACKHORSE LANE","LONDON","WALTHAM FOREST","A","138 BLACKHORSE LANE LONDON","LONDON58",49,2,3,0
"75",210000,2009-07-31,11,"E17 6AH","terraced","No","freehold","29","LANCASTER ROAD","LONDON","WALTHAM FOREST","A","29 LANCASTER ROAD WALTHAMSTOW","LONDON59",19,1,2,1
"76",215000,2013-05-28,95,"E17 6AN","terraced","No","freehold","33","GOLDSMITH ROAD","LONDON","WALTHAM FOREST","A","33 GOLDSMITH ROAD WALTHAMSTOW","LONDON60",24,3,3,1
"77",400000,2016-02-24,112,"E17 6AN","terraced","No","freehold","35","GOLDSMITH ROAD","LONDON","WALTHAM FOREST","A","35 GOLDSMITH ROAD WALTHAMSTOW","LONDON61",143,4,5,0
"78",350000,2016-03-21,46,"E17 6JT","flat","No","leasehold","LATCHINGDON COURT, 26","FOREST ROAD","LONDON","WALTHAM FOREST","A","LATCHINGDON COURT, 26 FOREST ROAD WALTHAMSTOW","LONDON62",12,2,3,1
"79",683000,2016-05-17,86,"E17 7AJ","terraced","No","freehold","53","HAZELWOOD ROAD","LONDON","WALTHAM FOREST","A","53 HAZELWOOD ROAD WALTHAMSTOW","LONDON63",39,2,2,0
"80",250000,2009-09-07,93,"E17 7EP","terraced","No","freehold","10","WOODVILLE ROAD","LONDON","WALTHAM FOREST","A","10 WOODVILLE ROAD WALTHAMSTOW","LONDON64",68,2,3,0
"81",235000,2009-11-30,35,"E17 7EP","terraced","No","freehold","32","WOODVILLE ROAD","LONDON","WALTHAM FOREST","A","32 WOODVILLE ROAD WALTHAMSTOW","LONDON65",91,1,1,1
"82",285000,2013-09-27,38,"E17 8BW","terraced","No","freehold","86","ACACIA ROAD","LONDON","WALTHAM FOREST","A","86 ACACIA ROAD WALTHAMSTOW","LONDON66",43,2,2,0
"83",325000,2009-12-18,79,"E17 9AZ","semi-detached","No","freehold","84","CLARENDON ROAD","LONDON","WALTHAM FOREST","A","84 CLARENDON ROAD WALTHAMSTOW","LONDON67",40,2,2,1
"84",355000,2010-09-27,119,"E17 9BS","terraced","No","freehold","29","GRANVILLE ROAD","LONDON","WALTHAM FOREST","A","29 GRANVILLE ROAD WALTHAMSTOW","LONDON68",59,4,4,1
"85",216000,2009-02-06,62,"E17 9DX","terraced","No","freehold","14","ELM ROAD","LONDON","WALTHAM FOREST","A","14 ELM ROAD WALTHAMSTOW","LONDON69",62,3,2,1
"86",250000,2009-03-12,119,"E17 9HH","terraced","No","freehold","64","BROOKE ROAD","LONDON","WALTHAM FOREST","A","64 BROOKE ROAD LONDON","LONDON70",39,5,6,1
"87",275000,2009-11-09,62,"E17 9JH","terraced","No","freehold","35","BARCLAY ROAD","LONDON","WALTHAM FOREST","A","35 BARCLAY ROAD WALTHAMSTOW","LONDON71",2,2,2,1
"88",175000,2013-01-18,7,"E17 9JJ","flat","No","leasehold","4","BARCLAY ROAD","LONDON","WALTHAM FOREST","A","4 BARCLAY ROAD WALTHAMSTOW","LONDON72",43,1,2,1
"89",315000,2013-12-13,65,"E17 9RB","flat","No","leasehold","15","STAINFORTH ROAD","LONDON","WALTHAM FOREST","A","15 STAINFORTH ROAD ","LONDON73",154,2,3,1
"90",336000,2016-03-30,27,"E18 1DD","flat","No","leasehold","19A","PRIMROSE ROAD","LONDON","REDBRIDGE","A","19A PRIMROSE ROAD SOUTH WOODFORD","LONDON74",28,1,1,0
"91",305000,2013-10-31,72,"E18 1NL","flat","No","leasehold","MAYSTOCKS COURT, 59","CHIGWELL ROAD","LONDON","REDBRIDGE","A","MAYSTOCKS COURT, 59 CHIGWELL ROAD ","LONDON75",75,2,3,1
"92",207000,2013-02-01,39,"E18 2DB","flat","No","leasehold","69","ALTHORNE GARDENS","LONDON","REDBRIDGE","A","69 ALTHORNE GARDENS ","LONDON76",55,2,2,1
"93",245000,2008-12-22,59,"E1W 1LT","flat","No","leasehold","23","ST ANTHONYS CLOSE","LONDON","TOWER HAMLETS","A","23 ST ANTHONYS CLOSE LONDON","LONDON77",40,2,2,1
"94",242000,2009-02-09,82,"E2 6ND","flat","No","leasehold","SOUTHWOOD SMITH HOUSE","FLORIDA STREET","LONDON","TOWER HAMLETS","A","SOUTHWOOD SMITH HOUSE FLORIDA STREET LONDON","LONDON78",52,2,3,0
"95",255000,2008-01-25,57,"E2 6PQ","flat","No","leasehold","MINSTREL COURT","TEESDALE CLOSE","LONDON","TOWER HAMLETS","A","MINSTREL COURT TEESDALE CLOSE LONDON","LONDON79",34,2,2,1
"96",320000,2012-12-07,53,"E3 2PD","flat","No","leasehold","OMEGA WORKS, 4","ROACH ROAD","LONDON","TOWER HAMLETS","A","OMEGA WORKS, 4 ROACH ROAD ","LONDON80",51,2,3,1
"97",320000,2013-11-01,53,"E3 2PD","flat","No","leasehold","OMEGA WORKS, 4","ROACH ROAD","LONDON","TOWER HAMLETS","A","OMEGA WORKS, 4 ROACH ROAD ","LONDON80",51,2,3,1
"98",525000,2016-03-31,53,"E3 2PD","flat","No","leasehold","OMEGA WORKS, 4","ROACH ROAD","LONDON","TOWER HAMLETS","A","OMEGA WORKS, 4 ROACH ROAD ","LONDON80",54,2,3,1
"99",285000,2012-09-06,53,"E3 2PD","flat","No","leasehold","OMEGA WORKS, 4","ROACH ROAD","LONDON","TOWER HAMLETS","A","OMEGA WORKS, 4 ROACH ROAD ","LONDON80",50,2,3,1
"100",335000,2013-02-28,53,"E3 2PD","flat","No","leasehold","OMEGA WORKS, 4","ROACH ROAD","LONDON","TOWER HAMLETS","A","OMEGA WORKS, 4 ROACH ROAD ","LONDON80",51,2,3,1
"101",242000,2012-12-21,53,"E3 2PD","flat","No","leasehold","OMEGA WORKS, 4","ROACH ROAD","LONDON","TOWER HAMLETS","A","OMEGA WORKS, 4 ROACH ROAD ","LONDON80",51,2,3,1
"102",328000,2012-04-16,53,"E3 2PD","flat","No","leasehold","OMEGA WORKS, 4","ROACH ROAD","LONDON","TOWER HAMLETS","A","OMEGA WORKS, 4 ROACH ROAD ","LONDON80",50,2,3,1
"103",335000,2013-08-23,53,"E3 2PD","flat","No","leasehold","OMEGA WORKS, 4","ROACH ROAD","LONDON","TOWER HAMLETS","A","OMEGA WORKS, 4 ROACH ROAD ","LONDON80",51,2,3,1
"104",302000,2012-10-12,53,"E3 2PD","flat","No","leasehold","OMEGA WORKS, 4","ROACH ROAD","LONDON","TOWER HAMLETS","A","OMEGA WORKS, 4 ROACH ROAD ","LONDON80",50,2,3,1
"105",250000,2010-09-17,43,"E3 2RW","flat","No","leasehold","614A - 614B","ROMAN ROAD","LONDON","TOWER HAMLETS","A","614A - 614B ROMAN ROAD ","LONDON81",52,2,2,1
"106",220000,2009-03-13,33,"E3 3RF","flat","No","leasehold","DAVID HEWITT HOUSE, 38","WATTS GROVE","LONDON","TOWER HAMLETS","A","DAVID HEWITT HOUSE, 38 WATTS GROVE LONDON","LONDON82",40,1,1,1
"107",245000,2009-12-17,59,"E3 3ST","flat","No","leasehold","ROSEBAY HOUSE, 21","HAWGOOD STREET","LONDON","TOWER HAMLETS","A","ROSEBAY HOUSE, 21 HAWGOOD STREET ","LONDON83",51,2,2,1
"108",215000,2009-02-20,59,"E3 3ST","flat","No","leasehold","ROSEBAY HOUSE, 21","HAWGOOD STREET","LONDON","TOWER HAMLETS","A","ROSEBAY HOUSE, 21 HAWGOOD STREET ","LONDON83",51,2,2,1
"109",229000,2008-04-25,78,"E3 4XE","flat","No","leasehold","BENTLEY HOUSE, 21","WELLINGTON WAY","LONDON","TOWER HAMLETS","A","BENTLEY HOUSE, 21 WELLINGTON WAY LONDON","LONDON84",19,3,3,1
"110",230000,2013-11-13,5,"E3 5EU","flat","No","leasehold","6","GLADSTONE PLACE","LONDON","TOWER HAMLETS","A","6 GLADSTONE PLACE ","LONDON85",50,1,1,0
"111",365000,2010-10-26,99,"E3 5SB","flat","No","leasehold","ALBANY WORKS","GUNMAKERS LANE","LONDON","TOWER HAMLETS","A","ALBANY WORKS GUNMAKERS LANE ","LONDON86",30,2,3,1
"112",405000,2010-06-04,99,"E3 5SB","flat","No","leasehold","ALBANY WORKS","GUNMAKERS LANE","LONDON","TOWER HAMLETS","A","ALBANY WORKS GUNMAKERS LANE ","LONDON86",29,2,3,1
"113",550000,2009-06-22,99,"E3 5SB","flat","No","leasehold","ALBANY WORKS","GUNMAKERS LANE","LONDON","TOWER HAMLETS","A","ALBANY WORKS GUNMAKERS LANE ","LONDON86",28,2,3,1
"114",248000,2010-10-08,57,"E4 6AZ","flat","No","leasehold","THE RISE, 14","CRESCENT ROAD","LONDON","WALTHAM FOREST","A","THE RISE, 14 CRESCENT ROAD CHINGFORD","LONDON87",19,2,2,0
"115",415000,2010-03-11,118,"E4 6DD","semi-detached","No","freehold","2","KIMBERLEY ROAD","LONDON","WALTHAM FOREST","A","2 KIMBERLEY ROAD CHINGFORD","LONDON88",81,2,3,1
"116",500000,2009-01-30,128,"E4 6DQ","semi-detached","No","freehold","59","KIMBERLEY ROAD","LONDON","WALTHAM FOREST","A","59 KIMBERLEY ROAD CHINGFORD","LONDON89",50,4,5,1
"117",230000,2009-01-26,119,"E4 6ER","terraced","No","freehold","21","WESTMINSTER GARDENS","LONDON","WALTHAM FOREST","A","21 WESTMINSTER GARDENS LONDON","LONDON90",53,4,3,1
"118",200000,2008-05-30,52,"E4 6EZ","flat","No","leasehold","12","THE CROFT","LONDON","WALTHAM FOREST","A","12 THE CROFT LONDON","LONDON91",55,2,2,0
"119",212000,2016-04-29,35,"E4 6QB","flat","No","leasehold","87","ENDLEBURY ROAD","LONDON","WALTHAM FOREST","A","87 ENDLEBURY ROAD ","LONDON92",66,2,2,0
"120",327500,2016-03-31,89,"E4 6QS","flat","No","leasehold","14","WARREN ROAD","LONDON","WALTHAM FOREST","A","14 WARREN ROAD CHINGFORD","LONDON93",132,2,4,1
"121",197000,2009-10-09,69,"E4 7HP","flat","No","leasehold","47A","KINGS ROAD","LONDON","WALTHAM FOREST","A","47A KINGS ROAD CHINGFORD","LONDON94",59,2,3,1
"122",425000,2015-12-17,119,"E4 8NN","terraced","No","freehold","31","WARWICK ROAD","LONDON","WALTHAM FOREST","A","31 WARWICK ROAD CHINGFORD","LONDON95",134,4,4,0
"123",137000,2010-02-26,59,"E4 8NU","flat","No","leasehold","269","HALL LANE","LONDON","WALTHAM FOREST","A","269 HALL LANE CHINGFORD","LONDON96",48,3,3,1
"124",265000,2010-02-26,74,"E4 8NW","terraced","No","freehold","52","WARWICK ROAD","LONDON","WALTHAM FOREST","A","52 WARWICK ROAD CHINGFORD","LONDON97",47,2,2,0
"125",210000,2009-07-13,43,"E4 8PY","semi-detached","No","freehold","331","HALL LANE","LONDON","WALTHAM FOREST","A","331 HALL LANE CHINGFORD","LONDON98",51,2,2,1
"126",307500,2010-08-16,51,"E4 9EL","semi-detached","No","freehold","48","INKS GREEN","LONDON","WALTHAM FOREST","A","48 INKS GREEN ","LONDON99",76,2,2,1
"127",142000,2009-02-27,78,"E4 9QS","flat","No","leasehold","SHELDON HOUSE, 28","FALMOUTH AVENUE","LONDON","WALTHAM FOREST","A","SHELDON HOUSE, 28 FALMOUTH AVENUE LONDON","LONDON100",44,2,3,1
"128",312000,2012-10-08,104,"E4 9SN","semi-detached","No","freehold","52","HAROLD ROAD","LONDON","WALTHAM FOREST","A","52 HAROLD ROAD CHINGFORD","LONDON101",16,3,3,1
"129",362500,2010-05-28,132,"E4 9ST","terraced","No","freehold","77","HAROLD ROAD","LONDON","WALTHAM FOREST","A","77 HAROLD ROAD CHINGFORD","LONDON102",20,4,5,1
"130",315000,2012-07-06,72,"E4 9SW","semi-detached","No","freehold","108","HAROLD ROAD","LONDON","WALTHAM FOREST","A","108 HAROLD ROAD CHINGFORD","LONDON103",52,2,2,0
"131",221500,2010-03-12,28,"E5 0LY","flat","No","leasehold","9A","GLENARM ROAD","LONDON","HACKNEY","A","9A GLENARM ROAD ","LONDON104",62,1,2,1
"132",250000,2013-12-16,9,"E5 0LY","flat","No","leasehold","9B","GLENARM ROAD","LONDON","HACKNEY","A","9B GLENARM ROAD ","LONDON105",26,1,0,0
"133",286000,2009-01-09,64,"E5 0TG","terraced","No","freehold","4","CROMFORD PATH","LONDON","HACKNEY","A","4 CROMFORD PATH LONDON","LONDON106",26,2,2,0
"134",246000,2013-11-15,66,"E6 1QE","terraced","No","freehold","6","BOLEYN ROAD","LONDON","NEWHAM","A","6 BOLEYN ROAD EAST HAM","LONDON107",72,2,3,1
